"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA.nlogo"
"teste3"
"10/20/2023 11:08:58:449 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percC","percV","percA","tempo_descanso","penergH","energiaAlimento","nhienas","qenergia","penergL","nleao","[step]","count turtles","count leoes","count hienas"
"8","20","7","1","20","0.5","25","50","50","0.5","50","24","74","48","26"
"10","20","7","1","20","0.5","25","50","50","0.5","50","18","80","45","35"
"3","20","7","1","20","0.5","25","50","50","0.5","50","23","76","47","29"
"2","20","7","1","20","0.5","25","50","50","0.5","50","10","88","47","41"
"4","20","7","1","20","0.5","25","50","50","0.5","50","19","78","45","33"
"5","20","7","1","20","0.5","25","50","50","0.5","50","21","67","44","23"
"6","20","7","1","20","0.5","25","50","50","0.5","50","21","80","48","32"
"9","20","7","1","20","0.5","25","50","50","0.5","50","19","83","47","36"
"5","20","7","1","20","0.5","25","50","50","0.5","50","22","67","44","23"
"8","20","7","1","20","0.5","25","50","50","0.5","50","25","74","48","26"
"9","20","7","1","20","0.5","25","50","50","0.5","50","20","82","47","35"
"7","20","7","1","20","0.5","25","50","50","0.5","50","15","79","45","34"
"10","20","7","1","20","0.5","25","50","50","0.5","50","19","79","45","34"
"2","20","7","1","20","0.5","25","50","50","0.5","50","11","87","47","40"
"6","20","7","1","20","0.5","25","50","50","0.5","50","22","80","48","32"
"3","20","7","1","20","0.5","25","50","50","0.5","50","24","76","47","29"
"8","20","7","1","20","0.5","25","50","50","0.5","50","26","73","47","26"
"10","20","7","1","20","0.5","25","50","50","0.5","50","20","77","45","32"
"4","20","7","1","20","0.5","25","50","50","0.5","50","20","78","45","33"
"5","20","7","1","20","0.5","25","50","50","0.5","50","23","67","44","23"
"9","20","7","1","20","0.5","25","50","50","0.5","50","21","82","47","35"
"8","20","7","1","20","0.5","25","50","50","0.5","50","27","73","47","26"
"3","20","7","1","20","0.5","25","50","50","0.5","50","25","75","47","28"
"6","20","7","1","20","0.5","25","50","50","0.5","50","23","80","48","32"
"7","20","7","1","20","0.5","25","50","50","0.5","50","16","78","45","33"
"8","20","7","1","20","0.5","25","50","50","0.5","50","28","73","47","26"
"8","20","7","1","20","0.5","25","50","50","0.5","50","29","73","47","26"
"6","20","7","1","20","0.5","25","50","50","0.5","50","24","80","48","32"
"9","20","7","1","20","0.5","25","50","50","0.5","50","22","81","47","34"
"2","20","7","1","20","0.5","25","50","50","0.5","50","12","86","47","39"
"10","20","7","1","20","0.5","25","50","50","0.5","50","21","76","45","31"
"8","20","7","1","20","0.5","25","50","50","0.5","50","30","71","47","24"
"4","20","7","1","20","0.5","25","50","50","0.5","50","21","77","45","32"
"5","20","7","1","20","0.5","25","50","50","0.5","50","24","66","43","23"
"9","20","7","1","20","0.5","25","50","50","0.5","50","23","81","47","34"
"7","20","7","1","20","0.5","25","50","50","0.5","50","17","76","45","31"
"3","20","7","1","20","0.5","25","50","50","0.5","50","26","75","47","28"
"6","20","7","1","20","0.5","25","50","50","0.5","50","25","80","48","32"
"1","20","7","1","20","0.5","25","50","50","0.5","50","2","92","49","43"
"8","20","7","1","20","0.5","25","50","50","0.5","50","31","71","47","24"
"5","20","7","1","20","0.5","25","50","50","0.5","50","25","66","43","23"
"9","20","7","1","20","0.5","25","50","50","0.5","50","24","81","47","34"
"3","20","7","1","20","0.5","25","50","50","0.5","50","27","75","47","28"
"6","20","7","1","20","0.5","25","50","50","0.5","50","26","79","47","32"
"10","20","7","1","20","0.5","25","50","50","0.5","50","22","76","45","31"
"5","20","7","1","20","0.5","25","50","50","0.5","50","26","66","43","23"
"9","20","7","1","20","0.5","25","50","50","0.5","50","25","81","47","34"
"8","20","7","1","20","0.5","25","50","50","0.5","50","32","71","47","24"
"4","20","7","1","20","0.5","25","50","50","0.5","50","22","77","45","32"
"9","20","7","1","20","0.5","25","50","50","0.5","50","26","80","47","33"
"8","20","7","1","20","0.5","25","50","50","0.5","50","33","70","47","23"
"3","20","7","1","20","0.5","25","50","50","0.5","50","28","75","47","28"
"5","20","7","1","20","0.5","25","50","50","0.5","50","27","66","43","23"
"8","20","7","1","20","0.5","25","50","50","0.5","50","34","69","47","22"
"9","20","7","1","20","0.5","25","50","50","0.5","50","27","79","47","32"
"6","20","7","1","20","0.5","25","50","50","0.5","50","27","77","46","31"
"3","20","7","1","20","0.5","25","50","50","0.5","50","29","75","47","28"
"2","20","7","1","20","0.5","25","50","50","0.5","50","13","84","47","37"
"7","20","7","1","20","0.5","25","50","50","0.5","50","18","76","45","31"
"9","20","7","1","20","0.5","25","50","50","0.5","50","28","78","47","31"
"5","20","7","1","20","0.5","25","50","50","0.5","50","28","65","43","22"
"8","20","7","1","20","0.5","25","50","50","0.5","50","35","68","47","21"
"10","20","7","1","20","0.5","25","50","50","0.5","50","23","74","44","30"
"9","20","7","1","20","0.5","25","50","50","0.5","50","29","77","47","30"
"4","20","7","1","20","0.5","25","50","50","0.5","50","23","76","45","31"
"6","20","7","1","20","0.5","25","50","50","0.5","50","28","77","46","31"
"5","20","7","1","20","0.5","25","50","50","0.5","50","29","65","43","22"
"3","20","7","1","20","0.5","25","50","50","0.5","50","30","75","47","28"
"5","20","7","1","20","0.5","25","50","50","0.5","50","30","65","43","22"
"4","20","7","1","20","0.5","25","50","50","0.5","50","24","76","45","31"
"9","20","7","1","20","0.5","25","50","50","0.5","50","30","75","47","28"
"6","20","7","1","20","0.5","25","50","50","0.5","50","29","76","46","30"
"8","20","7","1","20","0.5","25","50","50","0.5","50","36","68","47","21"
"5","20","7","1","20","0.5","25","50","50","0.5","50","31","65","43","22"
"4","20","7","1","20","0.5","25","50","50","0.5","50","25","75","45","30"
"9","20","7","1","20","0.5","25","50","50","0.5","50","31","74","47","27"
"8","20","7","1","20","0.5","25","50","50","0.5","50","37","68","47","21"
"7","20","7","1","20","0.5","25","50","50","0.5","50","19","75","45","30"
"2","20","7","1","20","0.5","25","50","50","0.5","50","14","84","47","37"
"9","20","7","1","20","0.5","25","50","50","0.5","50","32","74","47","27"
"6","20","7","1","20","0.5","25","50","50","0.5","50","30","76","46","30"
"5","20","7","1","20","0.5","25","50","50","0.5","50","32","64","43","21"
"10","20","7","1","20","0.5","25","50","50","0.5","50","24","73","44","29"
"4","20","7","1","20","0.5","25","50","50","0.5","50","26","75","45","30"
"3","20","7","1","20","0.5","25","50","50","0.5","50","31","75","47","28"
"8","20","7","1","20","0.5","25","50","50","0.5","50","38","68","47","21"
"9","20","7","1","20","0.5","25","50","50","0.5","50","33","72","47","25"
"5","20","7","1","20","0.5","25","50","50","0.5","50","33","63","43","20"
"4","20","7","1","20","0.5","25","50","50","0.5","50","27","75","45","30"
"8","20","7","1","20","0.5","25","50","50","0.5","50","39","68","47","21"
"6","20","7","1","20","0.5","25","50","50","0.5","50","31","76","46","30"
"9","20","7","1","20","0.5","25","50","50","0.5","50","34","71","47","24"
"7","20","7","1","20","0.5","25","50","50","0.5","50","20","74","44","30"
"5","20","7","1","20","0.5","25","50","50","0.5","50","34","62","43","19"
"3","20","7","1","20","0.5","25","50","50","0.5","50","32","73","46","27"
"10","20","7","1","20","0.5","25","50","50","0.5","50","25","73","44","29"
"8","20","7","1","20","0.5","25","50","50","0.5","50","40","68","47","21"
"4","20","7","1","20","0.5","25","50","50","0.5","50","28","74","44","30"
"9","20","7","1","20","0.5","25","50","50","0.5","50","35","71","47","24"
"3","20","7","1","20","0.5","25","50","50","0.5","50","33","73","46","27"
"5","20","7","1","20","0.5","25","50","50","0.5","50","35","61","43","18"
"6","20","7","1","20","0.5","25","50","50","0.5","50","32","75","46","29"
"7","20","7","1","20","0.5","25","50","50","0.5","50","21","74","44","30"
"2","20","7","1","20","0.5","25","50","50","0.5","50","15","83","47","36"
"3","20","7","1","20","0.5","25","50","50","0.5","50","34","72","46","26"
"8","20","7","1","20","0.5","25","50","50","0.5","50","41","67","47","20"
"4","20","7","1","20","0.5","25","50","50","0.5","50","29","74","44","30"
"10","20","7","1","20","0.5","25","50","50","0.5","50","26","72","44","28"
"5","20","7","1","20","0.5","25","50","50","0.5","50","36","61","43","18"
"9","20","7","1","20","0.5","25","50","50","0.5","50","36","70","47","23"
"6","20","7","1","20","0.5","25","50","50","0.5","50","33","74","46","28"
"8","20","7","1","20","0.5","25","50","50","0.5","50","42","67","47","20"
"4","20","7","1","20","0.5","25","50","50","0.5","50","30","72","44","28"
"2","20","7","1","20","0.5","25","50","50","0.5","50","16","83","47","36"
"9","20","7","1","20","0.5","25","50","50","0.5","50","37","69","46","23"
"5","20","7","1","20","0.5","25","50","50","0.5","50","37","61","43","18"
"10","20","7","1","20","0.5","25","50","50","0.5","50","27","72","44","28"
"7","20","7","1","20","0.5","25","50","50","0.5","50","22","74","44","30"
"6","20","7","1","20","0.5","25","50","50","0.5","50","34","72","45","27"
"9","20","7","1","20","0.5","25","50","50","0.5","50","38","68","45","23"
"8","20","7","1","20","0.5","25","50","50","0.5","50","43","67","47","20"
"4","20","7","1","20","0.5","25","50","50","0.5","50","31","71","44","27"
"8","20","7","1","20","0.5","25","50","50","0.5","50","44","67","47","20"
"5","20","7","1","20","0.5","25","50","50","0.5","50","38","61","43","18"
"9","20","7","1","20","0.5","25","50","50","0.5","50","39","66","45","21"
"2","20","7","1","20","0.5","25","50","50","0.5","50","17","83","47","36"
"6","20","7","1","20","0.5","25","50","50","0.5","50","35","72","45","27"
"8","20","7","1","20","0.5","25","50","50","0.5","50","45","65","47","18"
"10","20","7","1","20","0.5","25","50","50","0.5","50","28","72","44","28"
"8","20","7","1","20","0.5","25","50","50","0.5","50","46","64","47","17"
"4","20","7","1","20","0.5","25","50","50","0.5","50","32","71","44","27"
