"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste7"
"10/22/2023 16:44:07:731 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percV","show-energy?","percA","energiaAlimento","penergH","reproducao_leoes","reproducao_hienas","nleao","percC","reproducao?","tempo_descanso","nhienas","qenergia","penergL","[step]","count turtles","count hienas","count leoes"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","336","158","178"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","358","186","172"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","349","164","185"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","384","183","201"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","392","212","180"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","409","196","213"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","372","183","189"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","392","157","235"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","476","241","235"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","348","166","182"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","369","176","193"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","404","217","187"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","360","188","172"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","495","249","246"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","402","189","213"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","372","178","194"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","418","195","223"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","352","171","181"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","424","224","200"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","397","190","207"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","409","161","248"
"1","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","1","214","104","110"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","443","235","208"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","444","210","234"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","427","163","264"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","407","197","210"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","382","178","204"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","374","199","175"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","511","264","247"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","409","191","218"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","370","175","195"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","390","211","179"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","402","187","215"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","431","208","223"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","453","171","282"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","380","179","201"
